set	path	rc	ms_parallel8	bytes	lines	err
program	tsc/internal/bundled/libs/lib.es2025.intl.d.ts	0	27	9390	1717	
program	tsc/internal/bundled/libs/lib.es2025.iterator.d.ts	0	34	8637	1024	
program	tsc/internal/bundled/libs/lib.es2025.promise.d.ts	0	24	1619	92	
program	tsc/internal/bundled/libs/lib.es2025.regexp.d.ts	0	28	1255	30	
program	tsc/internal/bundled/libs/lib.es5.d.ts	0	62	218947	26984	
program	tsc/internal/bundled/libs/lib.es6.d.ts	0	20	993	13	
program	tsc/internal/bundled/libs/lib.esnext.array.d.ts	0	17	1752	202	
program	tsc/internal/bundled/libs/lib.esnext.collection.d.ts	0	19	2598	179	
program	tsc/internal/bundled/libs/lib.esnext.d.ts	0	20	1244	25	
program	tsc/internal/bundled/libs/lib.esnext.date.d.ts	0	27	917	26	
program	tsc/internal/bundled/libs/lib.esnext.decorators.d.ts	0	35	1031	49	
program	tsc/internal/bundled/libs/lib.esnext.disposable.d.ts	0	32	6767	731	
program	tsc/internal/bundled/libs/lib.esnext.error.d.ts	0	31	990	34	
program	tsc/internal/bundled/libs/lib.esnext.full.d.ts	0	36	1035	15	
program	tsc/internal/bundled/libs/lib.esnext.intl.d.ts	0	17	5305	380	
program	tsc/internal/bundled/libs/lib.esnext.sharedmemory.d.ts	0	24	1028	30	
program	tsc/internal/bundled/libs/lib.esnext.temporal.d.ts	0	25	22011	6428	
program	tsc/internal/bundled/libs/lib.esnext.typedarrays.d.ts	0	47	3350	359	
program	tsc/internal/bundled/libs/lib.scripthost.d.ts	0	41	9412	1163	
program	tsc/internal/bundled/libs/lib.webworker.asynciterable.d.ts	0	31	933	7	
program	tsc/internal/bundled/libs/lib.webworker.d.ts	0	158	787076	103033	
program	tsc/internal/bundled/libs/lib.webworker.importscripts.d.ts	0	36	1002	36	
program	tsc/internal/bundled/libs/lib.webworker.iterable.d.ts	0	29	933	7	
program	tsc/internal/lsp/lsproto/_generate/fetchModel.mts	0	33	1952	635	
program	tsc/internal/lsp/lsproto/_generate/generate.mts	0	85	160545	55172	
program	tsc/internal/lsp/lsproto/_generate/metaModelSchema.mts	0	27	12049	1731	
program	tsc/internal/stringutil/_scripts/generate-unicode-data.mts	0	29	10154	3737	
testdata	tsc/testdata/baselines/reference/transpile/declarationAsyncAndGeneratorFunctions.d.ts	0	134	3197	965	
testdata	tsc/testdata/baselines/reference/transpile/declarationBasicSyntax(declarationMap=false).d.ts	0	139	2401	835	
testdata	tsc/testdata/baselines/reference/transpile/declarationBasicSyntax(declarationMap=true).d.ts	0	118	4129	1155	
testdata	tsc/testdata/baselines/reference/transpile/declarationComputedPropertyNames.d.ts	0	126	13286	5449	
testdata	tsc/testdata/baselines/reference/transpile/declarationCrossFileInferences.d.ts	0	114	1540	537	
testdata	tsc/testdata/baselines/reference/transpile/declarationEmitPartialNodeReuse.d.ts	0	115	1751	643	
testdata	tsc/testdata/baselines/reference/transpile/declarationFunctionDeclarations.d.ts	0	116	13621	5901	
testdata	tsc/testdata/baselines/reference/transpile/declarationLinkedAliases.d.ts	0	109	195	71	
testdata	tsc/testdata/baselines/reference/transpile/declarationLocalAliasOfImportAlias.d.ts	0	52	449	191	
testdata	tsc/testdata/baselines/reference/transpile/declarationNotInScopeTypes.d.ts	0	46	1406	453	
testdata	tsc/testdata/baselines/reference/transpile/declarationPartialNodeReuseTypeOf.d.ts	0	54	1777	697	
testdata	tsc/testdata/baselines/reference/transpile/declarationRestParameters.d.ts	0	60	1211	569	
testdata	tsc/testdata/baselines/reference/transpile/declarationSelfReferentialConstraint.d.ts	0	53	263	95	
testdata	tsc/testdata/baselines/reference/transpile/declarationSingleFileHasErrors.d.ts	0	38	680	197	
testdata	tsc/testdata/baselines/reference/transpile/declarationSingleFileHasErrorsReported.d.ts	0	40	858	259	
testdata	tsc/testdata/baselines/reference/transpile/declarationTypeParameterConstraint.d.ts	0	36	399	171	
testdata	tsc/testdata/baselines/reference/transpile/declarationTypeWithComputedName.d.ts	0	46	397	213	
testdata	tsc/testdata/baselines/reference/transpile/declarationUnresolvedGlobalReferencesNoErrors.d.ts	0	55	1079	362	
testdata	tsc/testdata/baselines/reference/transpile/declarationUnresolvedTypeReference.d.ts	0	34	374	168	
testdata	tsc/testdata/baselines/reference/transpile/declarationUnresolvedTypeReference2.d.ts	0	43	1027	310	
testdata	tsc/testdata/baselines/reference/transpile/declarationsSimple.d.ts	0	39	341	133	
