path	line	callee	receiver_type	impls_of_pair	class
crates/ide-completion/src/completions.rs	746	r#type::complete_type_path	-norow-	0	11 module-qualified path `mod::f()`
crates/ide-completion/src/completions/flyimport.rs	290	key	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/completions/item_list/trait_impl.rs	1795	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/completions/postfix.rs	426	clone	Expr	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-completion/src/completions/type.rs	61	hir::Trait::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-completion/src/context.rs	633	attrs	Trait	0	4 corpus struct/enum, method is a corpus trait DEFAULT body
crates/ide-completion/src/context/analysis.rs	415	TextSize::new	-norow-	0	10 `T::f()`, T external or an alias
crates/ide-completion/src/context/analysis.rs	499	clone	SyntaxToken	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-completion/src/context/analysis.rs	1434	PathKind::Expr	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-completion/src/context/analysis.rs	1945	TextSize::try_from	-norow-	0	10 `T::f()`, T external or an alias
crates/ide-completion/src/context/analysis.rs	1952	covering_element	SyntaxNode	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-completion/src/context/tests.rs	13	hir::attach_db	-norow-	0	11 module-qualified path `mod::f()`
crates/ide-completion/src/lib.rs	65	contains	FxHashSet	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-completion/src/render.rs	306	String::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-completion/src/render.rs	4335	check_edit	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/expression.rs	403	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/expression.rs	711	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/expression.rs	1981	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/expression.rs	2024	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/expression.rs	2502	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/expression.rs	2587	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/item.rs	281	check_edit	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/pattern.rs	59	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/special.rs	1211	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-completion/src/tests/use_tree.rs	264	check	-norow-	0	9 free fn / bare name / struct literal
crates/ide-db/src/imports/import_assets.rs	267	scope	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-db/src/imports/merge_imports.rs	77	into	MergeBehavior	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-db/src/path_transform.rs	73	into	Trait	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-db/src/path_transform.rs	325	extend	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-db/src/ra_fixture.rs	173	add	RaFixtureConfig	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-db/src/rename.rs	196	source	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-db/src/rename.rs	685	rename_conflicts	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-db/src/source_change.rs	222	SourceChange::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-db/src/symbol_index.rs	251	LibraryRoots::get	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-db/src/symbol_index.rs	1190	iter	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-diagnostics/src/handlers/field_shorthand.rs	102	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/ide-diagnostics/src/handlers/generic_args_prohibited.rs	62	TextRange::new	-norow-	0	10 `T::f()`, T external or an alias
crates/ide-diagnostics/src/handlers/type_mismatch.rs	463	fix	-norow-	0	9 free fn / bare name / struct literal
crates/ide-diagnostics/src/handlers/unlinked_file.rs	33	is_none	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-diagnostics/src/handlers/useless_braces.rs	45	SyntaxNodePtr::new	-norow-	0	10 `T::f()`, T external or an alias
crates/ide-diagnostics/src/tests.rs	78	hir::attach_db	-norow-	0	11 module-qualified path `mod::f()`
crates/ide-ssr/src/lib.rs	344	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/ide-ssr/src/matching.rs	782	find	SyntaxElementChildren	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-ssr/src/nester.rs	46	ancestors_with_macros	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-ssr/src/resolving.rs	252	clone	SyntaxNode	0	3a receiver type is a corpus ALIAS to an external type
crates/ide/src/annotations.rs	63	FxIndexSet::default	-norow-	0	10 `T::f()`, T external or an alias
crates/ide/src/doc_links.rs	522	take	CowStr	0	3b receiver type undeclared in corpus (std/external)
