AsNode	direct	2	y	162:return p.AsNode() == parseTreeNode || 166:previousSibling = params[paramIdx-1].AsNode() || 284:return node.AsNode()
FS	direct	24	n	126:return p.Host().FS().FileExists(path) || 228:return p.Host().FS().UseCaseSensitiveFileNames() || 1326:if !p.Host().FS().UseCaseSensitiveFileNames() {
AsNumericLiteral	direct	1	n	1090:c.checkGrammarNumericLiteral(name.AsNumericLiteral())
OriginalToVirtualSpans	direct	1	n	207:return spans.OriginalToVirtualSpans(origRange, feature)
GetSourceFileOfNode	direct	0	n	171:sourceFile := ast.GetSourceFileOfNode(node) || 180:sourceFile := ast.GetSourceFileOfNode(node) || 201:sourceFile := ast.GetSourceFileOfNode(node)
File	direct	4	n	29:File() FileLike || 57:func (d *ASTDiagnostic) File() FileLike { || 58:file := d.Diagnostic.File()
FileNames	direct	1	n	327:originalRootNames := p.CommandLine.FileNames()
FileName	direct	17	y	119:if len(location) > 0 && isDefaultLibraryFile(info.File().FileName()) { || 138:if diag.File() == nil || !isDefaultLibraryFile(diag.File().FileName()) && !isTsConfigFile(diag.File().FileName || 166:tspath.ComparePaths(removeTestPathPrefixes(e.File().FileName(), false), removeTestPathPrefixes(inputFile.UnitN
Pos	direct	7	n	228:pos := node.Pos() || 333:if len(p.diagnostics) == 0 || p.diagnostics[len(p.diagnostics)-1].Pos() != loc.Pos() { || 535:return diagnostic.Pos() >= prevStatement.Pos()
SourceFiles	direct	4	y	461:SourceFiles() []*ast.SourceFile || 526:targetSourceFiles = host.SourceFiles()
WriteFile	direct	14	n	21:func (fs *OutputRecorderFS) WriteFile(path string, data string) error { || 22:if err := fs.FS.WriteFile(path, data); err != nil {
FS	direct	24	n	37:info := h.CompilerHost.FS().Stat(opts.FileName) || 114:wm := watchmanager.NewWatchManager(sys.Writer(), sys.FS().DirectoryExists) || 144:host := compiler.NewCompilerHost(w.sys.GetCurrentDirectory(), w.sys.FS(), w.sys.DefaultLibraryPath(), w.extend
Factory	direct	1	n	89:return tx.Factory().UpdatePropertyAccessExpression(node, expression, node.QuestionDotToken, node.Name(), node. || 129:updated := tx.Factory().UpdateParameterDeclaration( || 131:elideModifiers(tx.Factory(), node.Modifiers()),
IsStatic	direct	1	n	458:if ast.IsStatic(node) { || 997:if ast.IsStatic(member) != isStatic { || 1331:ast.IsStatic(member),
VisitEachChild	direct	170	y	274:visited := tx.Visitor().VisitEachChild(node.AsNode()) || 295:return tx.outerThisVisitor.VisitEachChild(n) || 361:result := tx.Visitor().VisitEachChild(node)
getAdjustedNode$1	closure	0	n	
Push$3	closure	0	n	
NewBindingPattern	direct	1	n	247:tx.Factory().NewBindingPattern(ast.KindObjectBindingPattern, tx.Factory().NewNodeList(asBindingElems)),
getModuleInstanceStateWorker$1	closure	0	n	
NewUniqueName	direct	1	n	109:tempVar := f.NewUniqueName("templateObject")
QuietDiagnosticReporter	direct	0	n	
getCompletionData$13	closure	0	n	
start$1	closure	0	n	
newSyntheticRecursiveVisitor$1	closure	0	n	
GetDeclarationOfKind	direct	0	n	708:shouldResolveAlias := symbolFromSymbolTable.Flags&ast.SymbolFlagsAlias != 0 && ast.GetDeclarationOfKind(symbol
