budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	200	12000	1000	query	delete_batch	3	1000	1000	110	1598	0.509166	0.483542	0.522875	2.306209	2.302667	2.375500	2.815375	2.786209	2.898375	0.328125	0.104166
constrained	200	12000	1000	query	dimension_fanout	3	1	200	110	1595	0.243417	0.222167	0.542833	2.795500	2.643791	2.805916	3.028083	2.887208	3.338333	0.355875	0.125167
constrained	200	12000	1000	query	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	2.564458	2.438459	2.770167	2.564458	2.438459	2.770167	0.573792	0.233666
constrained	200	12000	1000	query	insert_batch	3	1000	1000	110	1603	3.879042	3.857167	4.061167	2.881583	2.671250	2.895209	6.738750	6.732417	6.774251	0.646583	0.106667
constrained	200	12000	1000	query	update_batch	3	1000	1000	110	1594	4.761417	4.725500	4.998708	2.371375	2.329667	2.823166	7.132792	7.055167	7.821874	0.463666	0.097125
constrained	200	40000	10	pg_ivm	delete_batch	3	10	10	128	1831	0.806292	0.738458	0.909667	0.622500	0.596416	0.697083	1.503375	1.334874	1.532167	0.342833	0.103292
constrained	200	40000	10	pg_ivm	dimension_fanout	3	1	200	128	1833	0.852791	0.727625	0.890834	0.661292	0.619542	6.677750	1.510376	1.388917	7.530541	0.313375	0.076750
constrained	200	40000	10	pg_ivm	initial	3	0	0	128	1831	0.000000	0.000000	0.000000	1.036291	0.957709	1.329541	1.036291	0.957709	1.329541	0.692583	0.273209
constrained	200	40000	10	pg_ivm	insert_batch	3	10	10	128	1826	1.197542	1.167167	1.589125	0.703541	0.642041	0.804042	1.870708	1.839583	2.393167	0.581125	0.096125
constrained	200	40000	10	pg_ivm	update_batch	3	10	10	128	1832	0.994375	0.993834	0.996916	0.709041	0.681584	0.754834	1.703416	1.678500	1.748668	0.413500	0.102166
constrained	200	40000	10	query	delete_batch	3	10	10	128	1831	0.313125	0.262500	0.430042	5.940292	5.890625	6.043958	6.253417	6.153125	6.474000	0.460667	0.134208
constrained	200	40000	10	query	dimension_fanout	3	1	200	128	1833	0.278833	0.228167	0.292875	6.007791	5.935250	6.219084	6.235958	6.214083	6.511959	0.310583	0.106000
constrained	200	40000	10	query	initial	3	0	0	128	1831	0.000000	0.000000	0.000000	6.116000	6.109500	6.424500	6.116000	6.109500	6.424500	0.628833	0.248125
constrained	200	40000	10	query	insert_batch	3	10	10	128	1826	0.519667	0.453792	0.564875	6.035250	5.899458	6.064583	6.518375	6.464333	6.554917	0.624042	0.101791
constrained	200	40000	10	query	update_batch	3	10	10	128	1832	0.350000	0.278000	0.364959	6.085333	5.854542	6.086208	6.364208	6.219501	6.435333	0.529791	0.132916
constrained	200	160000	10	pg_ivm	delete_batch	3	10	10	128	2002	0.905167	0.751708	0.951875	0.907167	0.891667	0.924167	1.812334	1.675875	1.843542	0.446250	0.117000
constrained	200	160000	10	pg_ivm	dimension_fanout	3	1	200	128	2003	1.026125	0.945625	1.152875	0.755916	0.719250	0.789709	1.815834	1.664875	1.908791	0.311667	0.085459
constrained	200	160000	10	pg_ivm	initial	3	0	0	128	2005	0.000000	0.000000	0.000000	0.949000	0.898209	0.954375	0.949000	0.898209	0.954375	0.617417	0.225333
constrained	200	160000	10	pg_ivm	insert_batch	3	10	10	128	2001	1.132167	1.130625	1.381583	0.924541	0.798500	1.002541	2.134708	2.055166	2.180083	0.568667	0.098458
constrained	200	160000	10	pg_ivm	update_batch	3	10	10	128	2002	1.078167	1.033750	1.249292	0.725917	0.715833	0.941500	1.975209	1.749583	2.019667	0.502583	0.126875
constrained	200	160000	10	query	delete_batch	3	10	10	128	2002	0.376541	0.341167	0.407209	21.530584	21.241667	21.836750	21.871751	21.648876	22.213291	0.539833	0.138625
constrained	200	160000	10	query	dimension_fanout	3	1	200	128	2003	0.352459	0.296792	0.369334	21.452167	21.230167	21.540916	21.821501	21.526959	21.893375	0.502417	0.129500
constrained	200	160000	10	query	initial	3	0	0	128	2005	0.000000	0.000000	0.000000	21.588167	21.557292	21.736458	21.588167	21.557292	21.736458	0.826542	0.280375
constrained	200	160000	10	query	insert_batch	3	10	10	128	2001	0.504458	0.446666	0.547958	21.378208	21.229791	21.486041	21.926166	21.676457	21.990499	0.772750	0.123541
constrained	200	160000	10	query	update_batch	3	10	10	128	2002	0.452125	0.335333	0.536084	21.428917	21.170250	21.477792	21.929917	21.505583	21.965001	0.615666	0.159958
roomy	10	400	10	pg_ivm	delete_batch	3	10	10	20	245	0.716709	0.678750	0.824333	0.632250	0.630833	0.678000	1.394709	1.309583	1.456583	0.260583	0.065375
roomy	10	400	10	pg_ivm	dimension_fanout	3	1	10	20	246	0.765000	0.728041	1.005542	0.593708	0.527750	0.759709	1.358708	1.255791	1.765251	0.209916	0.052208
roomy	10	400	10	pg_ivm	initial	3	0	0	20	241	0.000000	0.000000	0.000000	0.831750	0.767792	1.154709	0.831750	0.767792	1.154709	0.323083	0.232666
