cmd/tsgo/sys.go	childProcess	internal/contentmapper/hostimpl.go	processExitState
internal/ast/ast.go	SourceFileLike	internal/core/text.go	TextPos
internal/ast/ast.go	SourceFileMetaData	internal/core/compileroptions.go	ResolutionMode
internal/ast/ast.go	StringLiteralLike	internal/ast/ast.go	Node
internal/ast/ast.go	TokenCacheKey	internal/ast/ast.go	Node
internal/ast/ast.go	TokenCacheKey	internal/core/text.go	TextRange
internal/ast/ast.go	TypeOnlyImportDeclaration	internal/ast/ast.go	Node
internal/ast/ast.go	ValidImportTypeNode	internal/ast/ast.go	Node
internal/ast/ast.go	Visitor	internal/ast/ast.go	Node
internal/ast/ast.go	nodeData	internal/ast/ast.go	ModifierList
internal/ast/ast.go	nodeData	internal/ast/ast.go	Node
internal/ast/ast.go	nodeData	internal/ast/ast.go	NodeFactoryCoercible
internal/ast/ast.go	nodeData	internal/ast/ast.go	Visitor
internal/ast/ast.go	nodeData	internal/ast/ast.go	nodeData
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	BodyBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	ClassLikeBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	DeclarationBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	DeclarationName
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	ExportableBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	FlowNodeBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	FunctionLikeBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	LiteralLikeNodeBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	LocalsContainerBase
internal/ast/ast.go	nodeData	internal/ast/ast_generated.go	TemplateLiteralLikeNodeBase
